Desc,Desc - Split 1,Desc - Split 2,ID,Portion,Calcium,Calories,Carbs,Chol,Fat,Fiber,Potassium,Protein,Sodium,Sugar,Vitamin C,Water
"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",YOGURT,FRUIT,1203,"1 container,  (6 oz)",152,105,18.6,6,1.41,0,194,4.86,58,2.9,0.7,74.1
"CHEESE,PARMESAN,DRY GRATED,RED FAT",CHEESE,PARMESAN,1204,1 cup,1109,265,1.37,88,20,0,125,20,1529,0,0,50.6
"CREAM SUB,FLAV,LIQ",CREAM SUB,FLAV,1205,1 tbsp,6,251,35.07,0,13.5,1.1,96,0.69,67,33.04,0,50.06
"CREAM SUB,FLAV,PDR",CREAM SUB,FLAV,1206,4 tsp,5,482,75.42,0,21.47,1.2,90,0.68,123,58.01,0,1.52
"CHEESE,PROVOLONE,RED FAT",CHEESE,PROVOLONE,1208,"1 cup, diced",756,274,3.5,55,17.6,0,138,24.7,615,0.55,0,50.6
"CHEESE,MEXICAN,BLEND,RED FAT",CHEESE,MEXICAN,1209,1 oz,1146,282,3.41,62,19.4,0,93,24.69,776,0.56,0,48.2
"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",MILK,WHL,1211,1 cup,113,61,4.78,10,3.27,0,132,3.15,43,5.05,0,88.13
"MILK,DRY,WHL,WO/ ADDED VITAMIN D",MILK,DRY,1212,1 cup,912,496,38.42,97,26.71,0,1330,26.32,371,38.42,8.6,2.47
"MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D",MILK,CND,1214,1 cup,261,135,10.04,29,7.56,0,303,6.81,106,10.04,1.9,74.04
"CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D",CHEESE PRODUCT,PAST PROCESS,1215,"1 slice,  3/4 oz",529,240,10.6,53,14.1,0,330,17.6,1201,8.02,0,51.8
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",YOGURT,FRUIT,1216,"1 container,  (6 oz)",138,99,18.64,5,1.15,0,177,3.98,53,18.64,0.6,75.3
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",YOGURT,FRUIT,1217,"1 container,  (6 oz)",152,102,19.05,4,1.08,0,195,4.37,58,19.05,0.7,74.48
